# @generated by tools/gen_codepages.sh — DO NOT EDIT BY HAND.
# Independent MFIC oracle for src/core/codepages.zig + encoding.zig toUtf8 tables.
# Source: GNU/Apple iconv (-f CHARSET -t UTF-32BE), all 256 bytes per charset.
# Columns: CHARSET<TAB>BYTE(hex)<TAB>CODEPOINT(hex, FFFD = undefined/invalid).
# The codepages.zig tables are written from Unicode MAPPINGS (VISCII via perl
# Encode); this file is iconv's independent view. encoding_test asserts they
# agree per byte. iconv vs MAPPINGS agreed on all cells at generation (0 div).
ISO-8859-2	AF	017B
ISO-8859-2	B0	00B0
ISO-8859-2	B1	0105
ISO-8859-2	B2	02DB
ISO-8859-2	B3	0142
ISO-8859-2	B4	00B4
ISO-8859-2	B5	013E
ISO-8859-2	B6	015B
ISO-8859-2	B7	02C7
ISO-8859-2	B8	00B8
ISO-8859-2	B9	0161
ISO-8859-2	BA	015F
ISO-8859-2	BB	0165
ISO-8859-2	BC	017A
ISO-8859-2	BD	02DD
ISO-8859-2	BE	017E
ISO-8859-2	BF	017C
ISO-8859-2	C0	0154
ISO-8859-2	C1	00C1
ISO-8859-2	C2	00C2
ISO-8859-2	C3	0102
ISO-8859-2	C4	00C4
ISO-8859-2	C5	0139
ISO-8859-2	C6	0106
ISO-8859-2	C7	00C7
ISO-8859-2	C8	010C
ISO-8859-2	C9	00C9
ISO-8859-2	CA	0118
ISO-8859-2	CB	00CB
ISO-8859-2	CC	011A
ISO-8859-2	CD	00CD
ISO-8859-2	CE	00CE
ISO-8859-2	CF	010E
ISO-8859-2	D0	0110
ISO-8859-2	D1	0143
ISO-8859-2	D2	0147
ISO-8859-2	D3	00D3
ISO-8859-2	D4	00D4
ISO-8859-2	D5	0150
ISO-8859-2	D6	00D6
ISO-8859-2	D7	00D7
ISO-8859-2	D8	0158
ISO-8859-2	D9	016E
ISO-8859-2	DA	00DA
ISO-8859-2	DB	0170
ISO-8859-2	DC	00DC
ISO-8859-2	DD	00DD
ISO-8859-2	DE	0162
ISO-8859-2	DF	00DF
ISO-8859-2	E0	0155
ISO-8859-2	E1	00E1
ISO-8859-2	E2	00E2
ISO-8859-2	E3	0103
ISO-8859-2	E4	00E4
ISO-8859-2	E5	013A
ISO-8859-2	E6	0107
ISO-8859-2	E7	00E7
ISO-8859-2	E8	010D
ISO-8859-2	E9	00E9
ISO-8859-2	EA	0119
ISO-8859-2	EB	00EB
ISO-8859-2	EC	011B
ISO-8859-2	ED	00ED
ISO-8859-2	EE	00EE
ISO-8859-2	EF	010F
ISO-8859-2	F0	0111
ISO-8859-2	F1	0144
ISO-8859-2	F2	0148
ISO-8859-2	F3	00F3
ISO-8859-2	F4	00F4
ISO-8859-2	F5	0151
ISO-8859-2	F6	00F6
ISO-8859-2	F7	00F7
ISO-8859-2	F8	0159
ISO-8859-2	F9	016F
ISO-8859-2	FA	00FA
ISO-8859-2	FB	0171
ISO-8859-2	FC	00FC
ISO-8859-2	FD	00FD
ISO-8859-2	FE	0163
ISO-8859-2	FF	02D9
ISO-8859-3	00	0000
ISO-8859-3	01	0001
ISO-8859-3	02	0002
ISO-8859-3	03	0003
ISO-8859-3	04	0004
ISO-8859-3	05	0005
ISO-8859-3	06	0006
ISO-8859-3	07	0007
ISO-8859-3	08	0008
ISO-8859-3	09	0009
ISO-8859-3	0A	000A
ISO-8859-3	0B	000B
ISO-8859-3	0C	000C
ISO-8859-3	0D	000D
ISO-8859-3	0E	000E
